videoId,title,publishedAt,viewCount,likeCount,commentCount,duration,channelId,channelName,url
OoOibiyLAQk,Jüngste Abgeordnete im Bundestag lässt CDU alt aussehen,2026-02-16T16:00:41Z,5571,738,131,PT3M15S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=OoOibiyLAQk
yrfMJ93fcSs,Sie erklärt der Regierung mal kurz was Klimaschutz bedeutet,2026-02-15T16:01:24Z,3255,409,76,PT2M25S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=yrfMJ93fcSs
De_jdNWJDOw,Bro hält Rede im Bundestag und Leute checken einfach,2026-02-14T16:00:19Z,30836,3385,471,PT2M59S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=De_jdNWJDOw
VrEnAgHBSOc,POV: Du hast die Idee des Jahrhunderts 😬,2026-02-12T16:42:21Z,32445,2167,246,PT42S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=VrEnAgHBSOc
FifsJZYLj8g,Wie man die AfD auseinander nimmt in 124 Sekunden,2026-02-12T16:00:31Z,7959,703,131,PT2M4S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=FifsJZYLj8g
iOQdWQSE3Kc,🔥 Heidi Reichinnek vs. Philipp Amthor,2026-02-12T10:23:24Z,151546,6231,585,PT50S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=iOQdWQSE3Kc
o3S0aD6Li3k,6 Milliarden bei VW aufgetaucht?!,2026-02-11T17:45:21Z,20631,966,77,PT14S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=o3S0aD6Li3k
1Ym8u_u91xg,Was wählst DU? 🫵 Das bringt die VERMÖGENSTEUER! 💰,2026-02-11T10:39:52Z,47403,4792,614,PT1M14S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=1Ym8u_u91xg
PFroaVhrfYA,Katze erklärt Vermögensteuer,2026-02-09T16:00:38Z,31114,2672,235,PT49S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=PFroaVhrfYA
HGDjjWz8lpQ,"Merz hat KEINE AHNUNG 🤦 Friedrich Merz, Alice Weidel und Dieter Bohlen im Vermögensteuer-Faktencheck",2026-02-06T16:00:24Z,152909,9469,766,PT2M2S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=HGDjjWz8lpQ
0nf8E1J5RjY,Bundestag beschließt: Deutsche Filme sollen noch schlechter werden,2026-02-04T15:45:37Z,2997,361,61,PT3M11S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=0nf8E1J5RjY
w2sPZfkXi0s,Sie erklärt dem Bundestag mal kurz das Internet,2026-02-04T15:45:12Z,83719,7874,923,PT5M43S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=w2sPZfkXi0s
v3oE1gMYHMw,Wir wurden ABGEMAHNT!,2026-02-03T12:11:54Z,29262,3193,237,PT1M47S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=v3oE1gMYHMw
K5TZDg33iOg,Keine ZUKUNFT?! Deutsche Verkehrspolitik Setzt ARBEITER*INNEN Auf Die Straße! ❄️🚘,2026-02-02T08:07:39Z,11788,1065,75,PT1M17S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=K5TZDg33iOg
