VideoID,ThreadBin,Count,Percentage
Cwi-cUV89Sw,Moderately Destructive,0,0.0
Cwi-cUV89Sw,Highly Destructive,1,50.0
CzVksVQiyXw,Constructive,0,0.0
CzVksVQiyXw,Slight/Neutral,1,33.3
CzVksVQiyXw,Moderately Destructive,2,66.7
CzVksVQiyXw,Highly Destructive,0,0.0
DJLDKV6_yBk,Constructive,0,0.0
DJLDKV6_yBk,Slight/Neutral,0,0.0
DJLDKV6_yBk,Moderately Destructive,0,0.0
DJLDKV6_yBk,Highly Destructive,1,100.0
DWKpnt7wRDA,Constructive,0,0.0
DWKpnt7wRDA,Slight/Neutral,1,50.0
DWKpnt7wRDA,Moderately Destructive,1,50.0
DWKpnt7wRDA,Highly Destructive,0,0.0
DWriK_sKwK0,Constructive,0,0.0
DWriK_sKwK0,Slight/Neutral,1,50.0
DWriK_sKwK0,Moderately Destructive,1,50.0
DWriK_sKwK0,Highly Destructive,0,0.0
Dhh_40DD30Q,Constructive,0,0.0
Dhh_40DD30Q,Slight/Neutral,0,0.0
Dhh_40DD30Q,Moderately Destructive,1,100.0
Dhh_40DD30Q,Highly Destructive,0,0.0
DvxMo7A83wE,Constructive,0,0.0
DvxMo7A83wE,Slight/Neutral,1,100.0
DvxMo7A83wE,Moderately Destructive,0,0.0
DvxMo7A83wE,Highly Destructive,0,0.0
DzuIU3c5RRw,Constructive,0,0.0
DzuIU3c5RRw,Slight/Neutral,0,0.0
DzuIU3c5RRw,Moderately Destructive,2,100.0
DzuIU3c5RRw,Highly Destructive,0,0.0
EROxE0gufgk,Constructive,1,25.0
EROxE0gufgk,Slight/Neutral,1,25.0
EROxE0gufgk,Moderately Destructive,2,50.0
EROxE0gufgk,Highly Destructive,0,0.0
ESetW0m2EoA,Constructive,0,0.0
ESetW0m2EoA,Slight/Neutral,0,0.0
ESetW0m2EoA,Moderately Destructive,2,100.0
ESetW0m2EoA,Highly Destructive,0,0.0
EVDlxIdk6bI,Constructive,0,0.0
EVDlxIdk6bI,Slight/Neutral,0,0.0
EVDlxIdk6bI,Moderately Destructive,2,100.0
EVDlxIdk6bI,Highly Destructive,0,0.0
Ec-KqpZu_OU,Constructive,0,0.0
Ec-KqpZu_OU,Slight/Neutral,0,0.0
Ec-KqpZu_OU,Moderately Destructive,1,100.0
Ec-KqpZu_OU,Highly Destructive,0,0.0
EjBwr4-3_rA,Constructive,1,50.0
EjBwr4-3_rA,Slight/Neutral,0,0.0
EjBwr4-3_rA,Moderately Destructive,1,50.0
EjBwr4-3_rA,Highly Destructive,0,0.0
Em4WkXB1bEI,Constructive,0,0.0
Em4WkXB1bEI,Slight/Neutral,0,0.0
Em4WkXB1bEI,Moderately Destructive,1,100.0
Em4WkXB1bEI,Highly Destructive,0,0.0
En-ko2OErwE,Constructive,10,35.7
En-ko2OErwE,Slight/Neutral,10,35.7
En-ko2OErwE,Moderately Destructive,4,14.3
En-ko2OErwE,Highly Destructive,4,14.3
Es61Sx1a6lE,Constructive,1,25.0
Es61Sx1a6lE,Slight/Neutral,1,25.0
Es61Sx1a6lE,Moderately Destructive,0,0.0
